correctedspeciesname,catalognumber,n,dex,sin,%dex,%sin,island,correctedlocality,decimallatitudeUSE,decimallongitudeUSE,coordinateuncertaintyinMetersUSE
Auriculella ambusta,127389,3,,3,0,1,Oahu,Waianae Mountains; Palawai; Loc. 6 = W450-9,21.41801505,-158.0991512,100
Auriculella ambusta,127437,4,2,2,0.5,0.5,Oahu,Waianae Mountains; Palawai; Loc. 10 = W450-5,21.418281,-158.09441,50
Auriculella ambusta,127400,9,,9,0,1,Oahu,Waianae Mountains; Palawai; Loc. 7 = W450-8,21.41873297,-158.098813,100
Auriculella ambusta,33012,13,,13,0,1,Oahu,Waianae Mts.; E; ridge S of Green Peak; from 33002 - bottom of second Sewall's Leap. Loc 5 = W450-8-10-11,21.419253,-158.098307,100
Auriculella ambusta,127413,22,1,21,0.045454545,0.954545455,Oahu,Waianae Mountains; Palawai; Loc. 9 = W450-6,21.41925528,-158.0959681,100
Auriculella ambusta,177497,1,,1,0,1,Oahu,"Waianae Mountains; North Palawai>Halona; West slope, below Palikea; Loc. 6 =",21.4194,-158.1003,
Auriculella ambusta,"126927, 126928",48,1,47,0.020833333,0.979166667,Oahu,Waianae Mountains; Napepeolelo> Loc. W451-1 = Loc. 1 See map,21.41944879,-158.0918557,100
Auriculella ambusta,176844,1,,1,0,1,Oahu,Waianae Mountains; Napepeiauolelo Gulch; Loc. 15 = W440-1. SEE MAP,21.419464,-158.085928,50
Auriculella ambusta,127404,13,2,11,0.153846154,0.846153846,Oahu,Waianae Mountains; Palawai; Loc. 8 = W450-7,21.41964769,-158.0968305,100
Auriculella ambusta,127292,44,1,43,0.022727273,0.977272727,Oahu,Waianae Mountains; Napepeolelo>; Loc. 12 = W451-2,21.42006462,-158.0917266,100
Auriculella ambusta,"183384, 183385",3,1,2,0.333333333,0.666666667,Oahu,Waianae Mountains; Palawai > Napepeiauolelo,21.42027778,-158.0977778,7
Auriculella ambusta,126944,25,,25,0,1,Oahu,Waianae Mountains; Napepeolelo> Loc. W451-3 = Loc. 2,21.42028766,-158.0923032,100
Auriculella ambusta,177277,15,12,3,0.8,0.2,Oahu,Waianae Mountains; North Palawai; Loc. 14 = W451-3. SEE MAP 135076-100,21.42028766,-158.0923032,100
